year,dpi_change
1929,NA
1930,-6.3
1931,-3.4
1932,-13.1
1933,-2.9
1934,9.6
1935,9.7
1936,12.6
1937,3.4
1938,-5.5
1939,8.4
1940,6.8
1941,15.8
1942,13.4
1943,4.8
1944,3.1
1945,-1.1
1946,-1.1
1947,-4.1
1948,5.3
1949,0.8
1950,9.2
1951,3.4
1952,3.5
1953,4.8
1954,1.4
1955,6.7
1956,4.8
1957,2.6
1958,1
1959,4.4
1960,2.6
1961,3.5
1962,4.9
1963,3.8
1964,7.1
1965,6.2
1966,5.3
1967,4.4
1968,4.5
1969,3.4
1970,4.6
1971,4.6
1972,4.8
1973,6.2
1974,-1.1
1975,2.5
1976,3.2
1977,3.2
1978,4.5
1979,1.9
1980,0.8
1981,2.3
1982,2.2
1983,3.6
1984,6.7
1985,3.1
1986,3.8
1987,1.8
1988,5.1
1989,2.9
1990,2.1
1991,0.9
1992,4
1993,1.6
1994,2.7
1995,3.3
1996,3.1
1997,3.6
1998,5.9
1999,3.2
2000,4.9
2001,2.9
2002,3.1
2003,2.5
2004,3.2
2005,1.2
2006,3.6
2007,2.3
2008,1.6
2009,0.2
2010,1.9
2011,2.2
2012,2.7
2013,-1.4
2014,3.5
2015,3.9
2016,1.9
2017,3.1
2018,3.6
2019,3.1
2020,6.3
2021,3.4
2022,-5.5
2023,5.1
2024,2.9
