Table 2.1. Personal Income and Its Disposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Millions of dollars],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual data from 1929 to 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data published January 30, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File created Jan 30 2025  9:36AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Line,,,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1,Personal income,A065RC,"85,289","76,533","65,668","50,294","47,234","54,090","60,843","69,221","74,710","69,084","73,632","79,408","97,878","126,724","156,187","169,717","175,786","182,534","194,481","213,496","211,071","233,735","264,232","282,460","299,227","302,221","324,159","347,903","367,983","378,953","402,865","422,138","440,576","468,837","492,774","528,193","570,659","620,339","665,723","730,915","800,336","865,045","932,785","1,024,456","1,140,780","1,251,819","1,369,389","1,502,647","1,659,236","1,863,721","2,082,709","2,324,458","2,603,200","2,789,461","2,981,716","3,288,674","3,522,893","3,731,193","3,946,806","4,280,021","4,621,012","4,913,303","5,089,913","5,417,494","5,652,865","5,940,921","6,283,359","6,666,199","7,073,974","7,588,358","7,978,599","8,621,299","8,993,143","9,150,049","9,481,755","10,015,873","10,546,102","11,301,996","11,932,119","12,425,679","12,065,682","12,556,628","13,309,571","13,917,794","14,068,770","14,784,074","15,473,741","15,887,651","16,662,756","17,528,192","18,363,160","19,620,082","21,419,498","22,088,920","23,402,535","24,692,324"
2,  Compensation of employees,A033RC,"51,408","47,167","40,071","31,339","29,787","34,553","37,667","43,289","48,310","45,412","48,553","52,749","66,187","88,036","112,698","124,321","126,304","122,485","132,361","144,313","144,334","158,269","185,705","201,088","215,245","214,139","230,571","249,275","262,576","264,670","285,829","301,283","310,422","332,202","350,408","375,975","405,415","449,249","481,790","530,751","584,458","623,347","664,995","731,333","812,683","887,715","947,230","1,048,347","1,165,825","1,316,765","1,477,231","1,622,247","1,792,525","1,892,983","2,012,489","2,215,872","2,387,324","2,542,063","2,722,405","2,947,987","3,139,601","3,340,373","3,450,516","3,668,246","3,817,290","4,006,192","4,198,088","4,416,942","4,708,818","5,071,138","5,402,682","5,847,146","6,038,348","6,135,115","6,353,606","6,719,488","7,066,107","7,479,676","7,878,475","8,056,826","7,759,019","7,925,369","8,226,175","8,567,363","8,835,039","9,250,208","9,699,419","9,966,108","10,424,372","10,957,404","11,446,611","11,596,428","12,557,025","13,436,720","14,190,188","15,041,908"
3,    Wages and salaries,A034RC,"50,460","46,214","39,157","30,514","29,027","33,734","36,722","41,954","46,139","43,013","45,985","49,860","62,085","82,098","105,786","116,749","117,493","112,005","123,097","135,550","134,733","147,253","171,607","185,636","198,989","197,263","212,151","229,026","239,951","241,317","259,842","272,855","280,519","299,358","314,851","337,788","363,757","400,321","429,009","471,972","518,333","551,560","584,549","638,785","708,762","772,282","814,838","899,745","994,158","1,120,570","1,253,314","1,373,422","1,511,373","1,587,517","1,677,513","1,844,915","1,982,550","2,102,335","2,256,267","2,439,782","2,583,051","2,741,199","2,814,478","2,965,541","3,079,340","3,236,589","3,418,022","3,616,469","3,876,844","4,181,616","4,457,926","4,824,946","4,953,635","4,995,843","5,138,269","5,421,014","5,691,379","6,056,739","6,396,392","6,534,095","6,249,110","6,372,510","6,626,182","6,928,124","7,113,994","7,476,332","7,859,482","8,091,239","8,474,410","8,899,824","9,325,144","9,465,660","10,315,597","11,123,119","11,725,244","12,421,610"
4,      Private industries,A132RC,"45,499","41,035","33,873","25,522","23,864","27,637","30,195","34,059","38,615","34,755","37,744","41,396","51,895","66,122","79,169","83,781","82,591","91,305","105,584","116,530","113,906","124,620","142,378","152,258","164,651","162,358","175,555","190,224","198,938","197,195","213,788","223,673","228,048","243,011","254,825","272,863","293,847","321,932","342,526","375,283","412,733","434,328","457,769","500,898","559,963","611,770","638,598","710,839","791,570","900,552","1,016,178","1,111,961","1,225,524","1,279,980","1,352,718","1,496,777","1,608,687","1,705,115","1,833,150","1,987,745","2,101,945","2,222,150","2,265,713","2,393,540","2,490,330","2,627,093","2,788,996","2,968,375","3,204,957","3,480,303","3,724,160","4,045,159","4,131,637","4,122,977","4,224,317","4,468,675","4,700,059","5,022,214","5,307,847","5,390,244","5,073,887","5,181,336","5,431,331","5,729,815","5,905,988","6,239,431","6,583,727","6,783,210","7,126,207","7,497,950","7,874,807","7,971,079","8,770,498","9,498,951","9,992,467","10,566,065"
5,      Government,B202RC,"4,961","5,179","5,284","4,992","5,163","6,097","6,527","7,895","7,524","8,258","8,241","8,464","10,190","15,976","26,617","32,968","34,902","20,700","17,513","19,020","20,827","22,633","29,229","33,378","34,338","34,905","36,596","38,802","41,013","44,122","46,054","49,182","52,471","56,347","60,026","64,925","69,910","78,389","86,483","96,689","105,600","117,232","126,780","137,887","148,799","160,512","176,240","188,906","202,588","220,018","237,136","261,461","285,849","307,537","324,795","348,138","373,863","397,220","423,117","452,037","481,106","519,049","548,765","572,001","589,010","609,496","629,026","648,094","671,887","701,313","733,766","779,787","821,998","872,866","913,952","952,339","991,320","1,034,524","1,088,544","1,143,851","1,175,223","1,191,174","1,194,851","1,198,309","1,208,006","1,236,901","1,275,756","1,308,029","1,348,203","1,401,874","1,450,337","1,494,580","1,545,099","1,624,168","1,732,777","1,855,545"
6,    Supplements to wages and salaries,A038RC,948,953,914,825,760,819,945,"1,335","2,171","2,399","2,568","2,889","4,102","5,938","6,912","7,572","8,811","10,480","9,264","8,763","9,601","11,016","14,098","15,452","16,256","16,876","18,420","20,249","22,625","23,353","25,987","28,428","29,903","32,844","35,557","38,187","41,658","48,928","52,781","58,779","66,125","71,787","80,446","92,548","103,921","115,433","132,392","148,602","171,667","196,195","223,917","248,826","281,152","305,465","334,976","370,957","404,774","439,729","466,139","508,205","556,550","599,175","636,038","702,705","737,949","769,603","780,066","800,473","831,974","889,522","944,757","1,022,200","1,084,714","1,139,272","1,215,337","1,298,474","1,374,728","1,422,938","1,482,083","1,522,730","1,509,910","1,552,859","1,599,993","1,639,238","1,721,044","1,773,876","1,839,937","1,874,870","1,949,962","2,057,580","2,121,468","2,130,768","2,241,427","2,313,601","2,464,944","2,620,298"
7,      Employer contributions for employee pension and insurance funds\1\,B040RC,940,946,909,817,756,812,933,"1,093","1,141","1,200","1,264","1,513","2,386","3,930","4,584","5,035","5,348","5,414","5,333","5,759","6,251","7,642","10,003","11,309","12,047","12,264","13,245","14,581","16,257","17,005","18,132","19,177","20,292","21,662","23,152","25,556","28,565","32,082","34,762","38,829","43,372","47,948","54,000","61,392","64,138","70,738","85,669","94,204","110,563","124,667","141,330","159,886","177,542","195,696","215,093","231,919","257,041","281,859","299,878","323,572","362,877","392,723","420,906","474,307","498,270","515,464","515,946","525,668","542,381","582,285","621,418","676,980","726,727","773,229","832,793","889,722","946,666","975,632","1,020,414","1,051,324","1,051,812","1,083,859","1,107,251","1,125,945","1,194,735","1,227,455","1,270,575","1,293,924","1,345,306","1,432,791","1,470,828","1,472,052","1,534,689","1,548,261","1,643,913","1,762,271"
8,      Employer contributions for government social insurance,B039RC,8,7,5,8,4,7,12,242,"1,030","1,199","1,304","1,376","1,716","2,008","2,328","2,537","3,463","5,066","3,931","3,004","3,349","3,373","4,095","4,143","4,209","4,612","5,174","5,668","6,368","6,349","7,854","9,250","9,611","11,182","12,405","12,631","13,093","16,846","18,019","19,950","22,753","23,839","26,446","31,156","39,783","44,695","46,723","54,398","61,104","71,529","82,587","88,940","103,610","109,769","119,883","139,038","147,734","157,869","166,261","184,633","193,673","206,451","215,132","228,398","239,679","254,139","264,120","274,805","289,593","307,237","323,339","345,220","357,987","366,043","382,544","408,752","428,062","447,306","461,669","471,406","458,098","469,000","492,742","513,293","526,309","546,421","569,362","580,946","604,656","624,789","650,639","658,716","706,739","765,340","821,031","858,028"
9,  Proprietors' income with inventory valuation and capital consumption adjustments,A041RC,"14,015","10,872","8,315","5,012","5,268","7,007","10,124","10,393","12,521","10,598","11,120","12,234","16,650","23,341","28,225","29,346","30,824","35,671","34,579","39,279","34,690","37,514","42,594","43,040","42,017","42,255","44,272","45,819","47,785","50,158","50,346","50,587","53,199","55,234","56,398","59,132","63,662","67,933","69,475","73,832","77,005","77,803","83,904","95,094","112,521","112,213","118,238","130,974","144,492","165,974","179,438","171,569","179,680","171,191","186,250","228,247","241,051","256,479","286,468","325,524","341,130","353,154","354,162","400,155","427,984","456,644","481,186","543,784","583,958","640,276","696,352","753,559","831,057","870,133","897,509","962,895","979,140","1,050,869","995,398","960,304","938,126","1,108,503","1,228,337","1,299,922","1,351,739","1,369,965","1,347,722","1,349,214","1,428,634","1,495,331","1,555,775","1,594,019","1,815,266","1,873,555","1,948,994","2,003,799"
10,    Farm,B042RC,"5,659","3,897","3,034","1,750","2,224","2,580","4,894","3,947","5,638","4,011","4,023","4,065","6,026","9,688","11,543","11,438","11,824","14,211","14,342","16,704","11,989","12,872","15,303","14,313","12,169","11,749","10,716","10,588","10,550","12,422","10,044","10,648","11,249","11,217","11,010","9,781","12,029","13,018","11,642","11,660","12,833","12,894","13,386","17,023","29,075","23,468","21,999","17,210","15,964","19,922","22,150","11,707","19,028","13,314","6,173","20,938","20,981","22,795","28,894","26,790","33,025","32,157","26,786","34,764","31,366","34,663","22,021","37,334","32,385","28,574","28,043","31,194","32,138","20,305","37,120","52,391","47,914","34,301","41,499","39,526","27,596","38,696","63,930","60,980","87,532","68,487","55,460","36,024","41,005","32,131","33,785","46,344","75,546","95,925","71,268","44,221"
11,    Nonfarm,A045RC,"8,356","6,975","5,281","3,262","3,044","4,427","5,230","6,446","6,883","6,587","7,097","8,169","10,624","13,653","16,682","17,908","19,000","21,460","20,237","22,575","22,701","24,642","27,291","28,727","29,848","30,506","33,556","35,231","37,235","37,736","40,302","39,939","41,950","44,017","45,388","49,351","51,633","54,915","57,833","62,172","64,172","64,909","70,518","78,071","83,446","88,745","96,239","113,764","128,528","146,052","157,288","159,862","160,652","157,877","180,077","207,309","220,071","233,684","257,574","298,735","308,105","320,997","327,377","365,392","396,618","421,981","459,165","506,449","551,573","611,701","668,309","722,365","798,919","849,828","860,390","910,504","931,226","1,016,569","953,900","920,779","910,531","1,069,807","1,164,406","1,238,943","1,264,206","1,301,478","1,292,263","1,313,189","1,387,629","1,463,200","1,521,991","1,547,675","1,739,720","1,777,630","1,877,726","1,959,579"
12,  Rental income of persons with capital consumption adjustment,A048RC,"6,065","5,371","4,440","3,599","2,858","2,516","2,564","2,684","2,966","3,480","3,716","3,847","4,415","5,454","6,024","6,337","6,578","6,899","6,889","7,484","7,798","8,779","9,720","10,816","12,028","13,061","13,423","13,668","14,054","14,798","15,559","16,463","17,200","18,046","18,728","18,831","19,336","19,910","20,345","20,096","20,348","20,664","21,828","22,719","23,117","23,181","22,292","20,308","15,867","16,545","16,093","18,978","23,780","23,833","24,435","24,652","26,204","18,268","16,594","22,492","21,524","28,168","38,577","60,573","90,079","113,667","124,882","142,528","147,059","165,206","178,497","183,476","202,403","208,448","227,098","242,781","221,105","181,120","186,259","290,275","347,592","433,671","506,541","534,468","578,687","598,502","601,351","618,723","642,028","671,488","688,432","738,112","772,259","870,266","989,079","1,057,261"
