year,month,unemployment
2020,Jan,152031
2020,Feb,152292
2020,Mar,150895
2020,Apr,130424
2020,May,133040
2020,Jun,137671
2020,Jul,139255
2020,Aug,140819
2020,Sep,141770
2020,Oct,142461
2020,Nov,142731
2020,Dec,142548
2021,Jan,142913
2021,Feb,143422
2021,Mar,144246
2021,Apr,144611
2021,May,145032
2021,Jun,145828
2021,Jul,146759
2021,Aug,147246
2021,Sep,147712
2021,Oct,148569
2021,Nov,149206
2021,Dec,149781
2022,Jan,150006
2022,Feb,150875
2022,Mar,151346
2022,Apr,151651
2022,May,151892
2022,Jun,152353
2022,Jul,153049
2022,Aug,153286
2022,Sep,153513
2022,Oct,153913
2022,Nov,154210
2022,Dec,154336
2023,Jan,154780
2023,Feb,155086
2023,Mar,155171
2023,Apr,155387
2023,May,155614
2023,Jun,155871
2023,Jul,156019
2023,Aug,156176
2023,Sep,156334
2023,Oct,156520
2023,Nov,156661
2023,Dec,156930
2024,Jan,157049
2024,Feb,157271
2024,Mar,157517
2024,Apr,157635
2024,May,157828
2024,Jun,157915
2024,Jul,158003
2024,Aug,158074
2024,Sep,158314
2024,Oct,158358
2024,Nov,158619
2024,Dec,158942
