state,year,month,rate
Alabama,1976,Jan,6.7
Alaska,1976,Jan,7.1
Arizona,1976,Jan,10.2
Arkansas,1976,Jan,7.3
California,1976,Jan,9.2
Los Angeles County,1976,Jan,8.9
Colorado,1976,Jan,5.8
Connecticut,1976,Jan,9.7
Delaware,1976,Jan,8
District of Columbia,1976,Jan,8.8
Florida,1976,Jan,9.6
Georgia,1976,Jan,8.4
Hawaii,1976,Jan,9.6
Idaho,1976,Jan,5.6
Illinois,1976,Jan,6.6
Indiana,1976,Jan,6.6
Iowa,1976,Jan,4.4
Kansas,1976,Jan,4.2
Kentucky,1976,Jan,5.6
Louisiana,1976,Jan,6.3
Maine,1976,Jan,8.7
Maryland,1976,Jan,6.5
Massachusetts,1976,Jan,10.6
Michigan,1976,Jan,9.9
Minnesota,1976,Jan,5.9
Mississippi,1976,Jan,6.6
Missouri,1976,Jan,6
Montana,1976,Jan,5.9
Nebraska,1976,Jan,3.2
Nevada,1976,Jan,9.2
New Hampshire,1976,Jan,6.5
New Jersey,1976,Jan,10.2
New Mexico,1976,Jan,8.6
New York,1976,Jan,10.3
New York city,1976,Jan,11.2
North Carolina,1976,Jan,6.5
North Dakota,1976,Jan,3.5
Ohio,1976,Jan,8.1
Oklahoma,1976,Jan,5.8
Oregon,1976,Jan,9.5
Pennsylvania,1976,Jan,8.1
Rhode Island,1976,Jan,7.7
South Carolina,1976,Jan,7.3
South Dakota,1976,Jan,3.3
Tennessee,1976,Jan,6
Texas,1976,Jan,5.8
Utah,1976,Jan,5.8
Vermont,1976,Jan,8.5
Virginia,1976,Jan,6
Washington,1976,Jan,8.5
West Virginia,1976,Jan,7.4
Wisconsin,1976,Jan,5.8
Wyoming,1976,Jan,4.1
Alabama,1976,Feb,6.6
Alaska,1976,Feb,7.1
Arizona,1976,Feb,10.2
Arkansas,1976,Feb,7.3
California,1976,Feb,9.2
Los Angeles County,1976,Feb,8.9
Colorado,1976,Feb,5.8
Connecticut,1976,Feb,9.7
Delaware,1976,Feb,8
District of Columbia,1976,Feb,8.8
Florida,1976,Feb,9.7
Georgia,1976,Feb,8.4
Hawaii,1976,Feb,9.6
Idaho,1976,Feb,5.6
Illinois,1976,Feb,6.6
Indiana,1976,Feb,6.6
Iowa,1976,Feb,4.4
Kansas,1976,Feb,4.2
Kentucky,1976,Feb,5.6
Louisiana,1976,Feb,6.3
Maine,1976,Feb,8.7
Maryland,1976,Feb,6.5
Massachusetts,1976,Feb,10.6
Michigan,1976,Feb,9.9
Minnesota,1976,Feb,5.9
Mississippi,1976,Feb,6.6
Missouri,1976,Feb,6
Montana,1976,Feb,5.9
Nebraska,1976,Feb,3.2
Nevada,1976,Feb,9.2
New Hampshire,1976,Feb,6.5
New Jersey,1976,Feb,10.2
New Mexico,1976,Feb,8.6
New York,1976,Feb,10.3
New York city,1976,Feb,11.2
North Carolina,1976,Feb,6.5
North Dakota,1976,Feb,3.5
Ohio,1976,Feb,8.1
Oklahoma,1976,Feb,5.8
Oregon,1976,Feb,9.5
Pennsylvania,1976,Feb,8.1
Rhode Island,1976,Feb,7.7
South Carolina,1976,Feb,7.3
South Dakota,1976,Feb,3.3
Tennessee,1976,Feb,6
Texas,1976,Feb,5.8
Utah,1976,Feb,5.9
Vermont,1976,Feb,8.5
Virginia,1976,Feb,6
Washington,1976,Feb,8.5
West Virginia,1976,Feb,7.4
Wisconsin,1976,Feb,5.8
Wyoming,1976,Feb,4.1
Alabama,1976,Mar,6.6
Alaska,1976,Mar,7
Arizona,1976,Mar,10.2
Arkansas,1976,Mar,7.3
California,1976,Mar,9.1
Los Angeles County,1976,Mar,8.8
Colorado,1976,Mar,5.7
Connecticut,1976,Mar,9.7
Delaware,1976,Mar,8
District of Columbia,1976,Mar,8.7
Florida,1976,Mar,9.6
Georgia,1976,Mar,8.3
Hawaii,1976,Mar,9.6
Idaho,1976,Mar,5.6
Illinois,1976,Mar,6.6
Indiana,1976,Mar,6.5
Iowa,1976,Mar,4.4
Kansas,1976,Mar,4.2
Kentucky,1976,Mar,5.6
Louisiana,1976,Mar,6.3
Maine,1976,Mar,8.6
Maryland,1976,Mar,6.5
Massachusetts,1976,Mar,10.6
Michigan,1976,Mar,9.9
Minnesota,1976,Mar,5.8
